4361,2022-07-05 15:14:59, 2022-07-06 02:30:11, 5
4362,2022-07-06 02:31:41, 2022-07-06 16:04:12, 9
4369,2022-07-07 00:28:02, 2022-07-07 12:53:20, 50
4410,2022-07-10 12:39:34, 2022-07-10 23:02:18, 240
4415,2022-07-11 02:34:03, 2022-07-11 14:28:50, 280
4419,2022-07-11 15:25:12, 2022-07-11 17:07:40, 19
4421,2022-07-11 17:20:49, 2022-07-12 00:58:41, 170
4423,2022-07-12 01:03:00, 2022-07-12 10:30:00, 81
4427,2022-07-13 00:48:49, 2022-07-13 09:25:20, 640
4449,2022-07-14 17:40:02, 2022-07-15 06:10:29, 1300
4503,2022-07-19 17:15:08, 2022-07-20 00:26:02, 700
4504,2022-07-20 00:34:08, 2022-07-20 09:26:41, 1300
4506,2022-07-20 09:51:50, 2022-07-20 13:41:49, 180
4508,2022-07-20 13:46:50, 2022-07-20 18:05:05, 90
4509,2022-07-20 18:06:42, 2022-07-20 23:33:59, 140
4513,2022-07-21 01:45:55, 2022-07-21 06:43:29, 640
4515,2022-07-21 06:47:52, 2022-07-21 10:26:56, 290
4527,2022-07-21 22:58:45, 2022-07-22 07:48:22, 2100
4532,2022-07-22 17:17:40, 2022-07-23 01:01:51, 740
4541,2022-07-23 13:05:30, 2022-07-24 06:55:07, 3800
4568,2022-07-25 11:13:23, 2022-07-25 13:38:53, 230
